Year,Country of origin,Country of origin (ISO),CountryOfAsylum,Country of asylum (ISO),RefugeesTotal
1951,Unknown ,UNK,Australia,AUS,180000
1951,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,208000
1951,Unknown ,UNK,Netherlands (Kingdom of the),NLD,14200
1951,Unknown ,UNK,United States of America,USA,350000
1952,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,200000
1952,Unknown ,UNK,Netherlands (Kingdom of the),NLD,14100
1952,Unknown ,UNK,United States of America,USA,500000
1953,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,192000
1953,Unknown ,UNK,Netherlands (Kingdom of the),NLD,13900
1953,Unknown ,UNK,United States of America,USA,500000
1954,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,182000
1954,Unknown ,UNK,Netherlands (Kingdom of the),NLD,12400
1954,Unknown ,UNK,United States of America,USA,500000
1955,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,175000
1955,Unknown ,UNK,Netherlands (Kingdom of the),NLD,11400
1955,Unknown ,UNK,United States of America,USA,500000
1956,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,182000
1956,Unknown ,UNK,Netherlands (Kingdom of the),NLD,13600
1956,Unknown ,UNK,United States of America,USA,500000
1957,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,179000
1957,Unknown ,UNK,Netherlands (Kingdom of the),NLD,13500
1957,Unknown ,UNK,United States of America,USA,500000
1958,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,175000
1958,Unknown ,UNK,Netherlands (Kingdom of the),NLD,13000
1958,Unknown ,UNK,United States of America,USA,500000
1959,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,170000
1959,Unknown ,UNK,Netherlands (Kingdom of the),NLD,12800
1959,Unknown ,UNK,United States of America,USA,500000
1960,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,167000
1960,Unknown ,UNK,Netherlands (Kingdom of the),NLD,12000
1960,Unknown ,UNK,United States of America,USA,500000
1961,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,164000
1961,Unknown ,UNK,Netherlands (Kingdom of the),NLD,10000
1961,Unknown ,UNK,United States of America,USA,500000
1962,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,160000
1962,Unknown ,UNK,Netherlands (Kingdom of the),NLD,10000
1962,Unknown ,UNK,United States of America,USA,500000
1963,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,157000
1963,Unknown ,UNK,Netherlands (Kingdom of the),NLD,9500
1963,Unknown ,UNK,United States of America,USA,500000
1964,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,160000
1964,Unknown ,UNK,Netherlands (Kingdom of the),NLD,9500
1964,Unknown ,UNK,United States of America,USA,500000
1965,Unknown ,UNK,Australia,AUS,40000
1965,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,170000
1965,Unknown ,UNK,Netherlands (Kingdom of the),NLD,9000
1965,Unknown ,UNK,United States of America,USA,510000
1966,Unknown ,UNK,Australia,AUS,40000
1966,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,167000
1966,Unknown ,UNK,Netherlands (Kingdom of the),NLD,8500
1966,Unknown ,UNK,United States of America,USA,500000
1967,Unknown ,UNK,Australia,AUS,44000
1967,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,164000
1967,Unknown ,UNK,Netherlands (Kingdom of the),NLD,8000
1967,Unknown ,UNK,United States of America,USA,480000
1968,Unknown ,UNK,Australia,AUS,43000
1968,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,161000
1968,Unknown ,UNK,Netherlands (Kingdom of the),NLD,8000
1968,Unknown ,UNK,United States of America,USA,498000
1969,Unknown ,UNK,Australia,AUS,42000
1969,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,162000
1969,Unknown ,UNK,Netherlands (Kingdom of the),NLD,8000
1969,Unknown ,UNK,United States of America,USA,500000
1970,Unknown ,UNK,Australia,AUS,42000
1970,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,162000
1970,Unknown ,UNK,Netherlands (Kingdom of the),NLD,8524
1970,Unknown ,UNK,United States of America,USA,500000
1971,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,150000
1971,Unknown ,UNK,Netherlands (Kingdom of the),NLD,8600
1971,Unknown ,UNK,United States of America,USA,530000
1972,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,150000
1972,Unknown ,UNK,Netherlands (Kingdom of the),NLD,8830
1972,Unknown ,UNK,United States of America,USA,530000
1973,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,150000
1973,Unknown ,UNK,Netherlands (Kingdom of the),NLD,8400
1973,Unknown ,UNK,United States of America,USA,530000
1974,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,155500
1974,Unknown ,UNK,Netherlands (Kingdom of the),NLD,8015
1974,Unknown ,UNK,United States of America,USA,530000
1975,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,153000
1975,Unknown ,UNK,Netherlands (Kingdom of the),NLD,7850
1975,Unknown ,UNK,United States of America,USA,530000
1976,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,153000
1976,Unknown ,UNK,Netherlands (Kingdom of the),NLD,7900
1976,Unknown ,UNK,United States of America,USA,500000
1977,Cambodia,KHM,Malaysia,MYS,1580
1977,Philippines,PHL,Malaysia,MYS,90000
1977,Viet Nam,VNM,Malaysia,MYS,3880
1977,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,148000
1977,Unknown ,UNK,Malaysia,MYS,540
1977,Unknown ,UNK,Netherlands (Kingdom of the),NLD,8000
1977,Unknown ,UNK,United States of America,USA,684700
1978,Philippines,PHL,Malaysia,MYS,92000
1978,Viet Nam,VNM,Malaysia,MYS,49580
1978,Unknown ,UNK,Australia,AUS,304000
1978,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,150000
1978,Unknown ,UNK,Netherlands (Kingdom of the),NLD,8000
1978,Unknown ,UNK,United States of America,USA,734000
1979,Cambodia,KHM,Malaysia,MYS,580
1979,Philippines,PHL,Malaysia,MYS,90000
1979,Viet Nam,VNM,Malaysia,MYS,34300
1979,Unknown ,UNK,Australia,AUS,304000
1979,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,146000
1979,Unknown ,UNK,Netherlands (Kingdom of the),NLD,10000
1979,Unknown ,UNK,United States of America,USA,734000
1980,Cambodia,KHM,Malaysia,MYS,1880
1980,Philippines,PHL,Malaysia,MYS,90000
1980,Viet Nam,VNM,Malaysia,MYS,12160
1980,Unknown ,UNK,Australia,AUS,304000
1980,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,148000
1980,Unknown ,UNK,Netherlands (Kingdom of the),NLD,12000
1980,Unknown ,UNK,United States of America,USA,403684
1981,Cambodia,KHM,Malaysia,MYS,3400
1981,Philippines,PHL,Malaysia,MYS,90000
1981,Viet Nam,VNM,Malaysia,MYS,9850
1981,Unknown ,UNK,Australia,AUS,317000
1981,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,146000
1981,Unknown ,UNK,Netherlands (Kingdom of the),NLD,13000
1981,Unknown ,UNK,United States of America,USA,537375
1982,Cambodia,KHM,Malaysia,MYS,800
1982,Philippines,PHL,Malaysia,MYS,90000
1982,Viet Nam,VNM,Malaysia,MYS,8440
1982,Unknown ,UNK,Australia,AUS,317000
1982,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,143000
1982,Unknown ,UNK,Netherlands (Kingdom of the),NLD,14000
1982,Unknown ,UNK,United States of America,USA,620257
1983,Cambodia,KHM,Malaysia,MYS,620
1983,Philippines,PHL,Malaysia,MYS,100000
1983,Viet Nam,VNM,Malaysia,MYS,10080
1983,Unknown ,UNK,Australia,AUS,317000
1983,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,140000
1983,Unknown ,UNK,Netherlands (Kingdom of the),NLD,14500
1983,Unknown ,UNK,United States of America,USA,655532
1984,Cambodia,KHM,Malaysia,MYS,110
1984,Philippines,PHL,Malaysia,MYS,100000
1984,Viet Nam,VNM,Malaysia,MYS,8850
1984,Unknown ,UNK,Australia,AUS,89000
1984,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,135000
1984,Unknown ,UNK,Malaysia,MYS,100
1984,Unknown ,UNK,Netherlands (Kingdom of the),NLD,15000
1984,Unknown ,UNK,United States of America,USA,626909
1985,Cambodia,KHM,Malaysia,MYS,6850
1985,Philippines,PHL,Malaysia,MYS,90000
1985,Viet Nam,VNM,Malaysia,MYS,8460
1985,Unknown ,UNK,Australia,AUS,89000
1985,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,135000
1985,Unknown ,UNK,Netherlands (Kingdom of the),NLD,15500
1985,Unknown ,UNK,United States of America,USA,492806
1986,Philippines,PHL,Malaysia,MYS,90000
1986,Viet Nam,VNM,Malaysia,MYS,9000
1986,Unknown ,UNK,Australia,AUS,85900
1986,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,100000
1986,Unknown ,UNK,Netherlands (Kingdom of the),NLD,16000
1986,Unknown ,UNK,United States of America,USA,398633
1987,Cambodia,KHM,Malaysia,MYS,300
1987,Philippines,PHL,Malaysia,MYS,90000
1987,Viet Nam,VNM,Malaysia,MYS,9120
1987,Unknown ,UNK,Australia,AUS,87600
1987,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,100000
1987,Unknown ,UNK,Netherlands (Kingdom of the),NLD,24000
1987,Unknown ,UNK,United States of America,USA,365726
1988,Afghanistan,AFG,United Kingdom of Great Britain and Northern Ireland,GBR,241
1988,Afghanistan,AFG,United States of America,USA,12853
1988,Albania,ALB,United States of America,USA,295
1988,Algeria,DZA,United Kingdom of Great Britain and Northern Ireland,GBR,5
1988,Angola,AGO,United Kingdom of Great Britain and Northern Ireland,GBR,16
1988,Angola,AGO,United States of America,USA,212
1988,Egypt,EGY,United Kingdom of Great Britain and Northern Ireland,GBR,5
1988,Argentina,ARG,United Kingdom of Great Britain and Northern Ireland,GBR,10
1988,Bangladesh,BGD,United Kingdom of Great Britain and Northern Ireland,GBR,5
1988,Bulgaria,BGR,United Kingdom of Great Britain and Northern Ireland,GBR,32
1988,Bulgaria,BGR,United States of America,USA,745
1988,Cambodia,KHM,Malaysia,MYS,160
1988,Cambodia,KHM,United States of America,USA,53081
1988,China,CHN,United Kingdom of Great Britain and Northern Ireland,GBR,12
1988,China,CHN,United States of America,USA,229
1988,Chile,CHL,United Kingdom of Great Britain and Northern Ireland,GBR,18
1988,Dem. Rep. of the Congo,COD,United Kingdom of Great Britain and Northern Ireland,GBR,18
1988,Dem. Rep. of the Congo,COD,United States of America,USA,69
1988,Colombia,COL,United Kingdom of Great Britain and Northern Ireland,GBR,35
1988,Cuba,CUB,United Kingdom of Great Britain and Northern Ireland,GBR,5
1988,Cuba,CUB,United States of America,USA,3863
1988,Cyprus,CYP,United Kingdom of Great Britain and Northern Ireland,GBR,11
1988,Czechia,CZE,United Kingdom of Great Britain and Northern Ireland,GBR,102
1988,Czechia,CZE,United States of America,USA,5167
1988,Ethiopia,ETH,United Kingdom of Great Britain and Northern Ireland,GBR,909
1988,Ethiopia,ETH,United States of America,USA,10439
1988,Ghana,GHA,United Kingdom of Great Britain and Northern Ireland,GBR,834
1988,Greece,GRC,United Kingdom of Great Britain and Northern Ireland,GBR,6
1988,Grenada,GRD,United Kingdom of Great Britain and Northern Ireland,GBR,9
1988,Guatemala,GTM,United Kingdom of Great Britain and Northern Ireland,GBR,7
1988,Guatemala,GTM,United States of America,USA,73
1988,Haiti,HTI,United States of America,USA,13
1988,Hungary,HUN,United Kingdom of Great Britain and Northern Ireland,GBR,78
1988,Hungary,HUN,United States of America,USA,3513
1988,India,IND,United Kingdom of Great Britain and Northern Ireland,GBR,5
1988,India,IND,United States of America,USA,5
1988,Iran (Islamic Rep. of),IRN,United Kingdom of Great Britain and Northern Ireland,GBR,8159
1988,Iran (Islamic Rep. of),IRN,United States of America,USA,37955
1988,Iraq,IRQ,United Kingdom of Great Britain and Northern Ireland,GBR,932
1988,Iraq,IRQ,United States of America,USA,1058
1988,Israel,ISR,United Kingdom of Great Britain and Northern Ireland,GBR,5
1988,Lao People's Dem. Rep.,LAO,United Kingdom of Great Britain and Northern Ireland,GBR,8
1988,Lao People's Dem. Rep.,LAO,United States of America,USA,55713
1988,Liberia,LBR,United Kingdom of Great Britain and Northern Ireland,GBR,5
1988,Liberia,LBR,United States of America,USA,18
1988,Libya,LBY,United Kingdom of Great Britain and Northern Ireland,GBR,84
1988,Libya,LBY,United States of America,USA,356
1988,Lebanon,LBN,United Kingdom of Great Britain and Northern Ireland,GBR,108
1988,Lebanon,LBN,United States of America,USA,171
1988,Sri Lanka,LKA,United Kingdom of Great Britain and Northern Ireland,GBR,3196
1988,Malawi,MWI,United Kingdom of Great Britain and Northern Ireland,GBR,5
1988,Mozambique,MOZ,United States of America,USA,54
1988,Myanmar,MMR,United Kingdom of Great Britain and Northern Ireland,GBR,7
1988,Namibia,NAM,United States of America,USA,45
1988,Nicaragua,NIC,United States of America,USA,9180
1988,Nigeria,NGA,United Kingdom of Great Britain and Northern Ireland,GBR,10
1988,Pakistan,PAK,United Kingdom of Great Britain and Northern Ireland,GBR,211
1988,Pakistan,PAK,United States of America,USA,63
1988,Panama,PAN,United States of America,USA,47
1988,Peru,PER,United States of America,USA,5
1988,Philippines,PHL,Malaysia,MYS,90000
1988,Poland,POL,United Kingdom of Great Britain and Northern Ireland,GBR,266
1988,Poland,POL,United States of America,USA,21186
1988,Romania,ROU,United Kingdom of Great Britain and Northern Ireland,GBR,64
1988,Romania,ROU,United States of America,USA,18125
1988,South Africa,ZAF,United Kingdom of Great Britain and Northern Ireland,GBR,115
1988,South Africa,ZAF,United States of America,USA,167
1988,Russian Federation,RUS,United Kingdom of Great Britain and Northern Ireland,GBR,25
1988,Russian Federation,RUS,United States of America,USA,26486
1988,Rwanda,RWA,United Kingdom of Great Britain and Northern Ireland,GBR,5
1988,El Salvador,SLV,United Kingdom of Great Britain and Northern Ireland,GBR,51
1988,El Salvador,SLV,United States of America,USA,1024
1988,Seychelles,SYC,United Kingdom of Great Britain and Northern Ireland,GBR,49
1988,Singapore,SGP,United Kingdom of Great Britain and Northern Ireland,GBR,8
1988,Sierra Leone,SLE,United Kingdom of Great Britain and Northern Ireland,GBR,8
1988,Somalia,SOM,United Kingdom of Great Britain and Northern Ireland,GBR,411
1988,Somalia,SOM,United States of America,USA,171
1988,Serbia and Kosovo: S/RES/1244 (1999),SRB,United Kingdom of Great Britain and Northern Ireland,GBR,6
1988,Serbia and Kosovo: S/RES/1244 (1999),SRB,United States of America,USA,52
1988,Viet Nam,VNM,Malaysia,MYS,14210
1988,Viet Nam,VNM,United States of America,USA,113734
1988,Stateless,XXA,United Kingdom of Great Britain and Northern Ireland,GBR,102
1988,Sudan,SDN,United Kingdom of Great Britain and Northern Ireland,GBR,56
1988,Syrian Arab Rep.,SYR,United Kingdom of Great Britain and Northern Ireland,GBR,22
1988,Syrian Arab Rep.,SYR,United States of America,USA,252
1988,United Rep. of Tanzania,TZA,United Kingdom of Great Britain and Northern Ireland,GBR,5
1988,Türkiye,TUR,United Kingdom of Great Britain and Northern Ireland,GBR,126
1988,Uganda,UGA,United Kingdom of Great Britain and Northern Ireland,GBR,905
1988,Uganda,UGA,United States of America,USA,77
1988,Unknown ,UNK,Australia,AUS,90970
1988,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,22428
1988,Unknown ,UNK,Malaysia,MYS,183
1988,Unknown ,UNK,Netherlands (Kingdom of the),NLD,25963
1988,Unknown ,UNK,United States of America,USA,1273
1988,Uruguay,URY,United Kingdom of Great Britain and Northern Ireland,GBR,5
1988,Zimbabwe,ZWE,United Kingdom of Great Britain and Northern Ireland,GBR,5
1989,Afghanistan,AFG,United Kingdom of Great Britain and Northern Ireland,GBR,233
1989,Afghanistan,AFG,United States of America,USA,12196
1989,Albania,ALB,United States of America,USA,296
1989,Algeria,DZA,United Kingdom of Great Britain and Northern Ireland,GBR,5
1989,Angola,AGO,United Kingdom of Great Britain and Northern Ireland,GBR,66
1989,Angola,AGO,United States of America,USA,149
1989,Egypt,EGY,United Kingdom of Great Britain and Northern Ireland,GBR,5
1989,Argentina,ARG,United Kingdom of Great Britain and Northern Ireland,GBR,10
1989,Bangladesh,BGD,United Kingdom of Great Britain and Northern Ireland,GBR,5
1989,Bulgaria,BGR,United Kingdom of Great Britain and Northern Ireland,GBR,38
1989,Bulgaria,BGR,United States of America,USA,727
1989,Cambodia,KHM,United States of America,USA,35146
1989,China,CHN,United Kingdom of Great Britain and Northern Ireland,GBR,37
1989,China,CHN,United States of America,USA,368
1989,Chile,CHL,United Kingdom of Great Britain and Northern Ireland,GBR,18
1989,Dem. Rep. of the Congo,COD,United Kingdom of Great Britain and Northern Ireland,GBR,153
1989,Dem. Rep. of the Congo,COD,United States of America,USA,51
1989,Colombia,COL,United Kingdom of Great Britain and Northern Ireland,GBR,65
1989,Cuba,CUB,United Kingdom of Great Britain and Northern Ireland,GBR,5
1989,Cuba,CUB,United States of America,USA,7668
1989,Cyprus,CYP,United Kingdom of Great Britain and Northern Ireland,GBR,11
1989,Czechia,CZE,United Kingdom of Great Britain and Northern Ireland,GBR,96
1989,Czechia,CZE,United States of America,USA,5239
1989,Ethiopia,ETH,United Kingdom of Great Britain and Northern Ireland,GBR,1263
1989,Ethiopia,ETH,United States of America,USA,9829
1989,Ghana,GHA,United Kingdom of Great Britain and Northern Ireland,GBR,909
1989,Greece,GRC,United Kingdom of Great Britain and Northern Ireland,GBR,6
1989,Grenada,GRD,United Kingdom of Great Britain and Northern Ireland,GBR,5
1989,Guatemala,GTM,United Kingdom of Great Britain and Northern Ireland,GBR,7
1989,Guatemala,GTM,United States of America,USA,169
1989,Haiti,HTI,United States of America,USA,24
1989,Hungary,HUN,United Kingdom of Great Britain and Northern Ireland,GBR,61
1989,Hungary,HUN,United States of America,USA,3990
1989,India,IND,United Kingdom of Great Britain and Northern Ireland,GBR,5
1989,India,IND,United States of America,USA,8
1989,Iran (Islamic Rep. of),IRN,United Kingdom of Great Britain and Northern Ireland,GBR,8329
1989,Iran (Islamic Rep. of),IRN,United States of America,USA,33504
1989,Iraq,IRQ,United Kingdom of Great Britain and Northern Ireland,GBR,1189
1989,Iraq,IRQ,United States of America,USA,994
1989,Israel,ISR,United Kingdom of Great Britain and Northern Ireland,GBR,5
1989,Lao People's Dem. Rep.,LAO,United Kingdom of Great Britain and Northern Ireland,GBR,8
1989,Lao People's Dem. Rep.,LAO,United States of America,USA,60853
1989,Liberia,LBR,United Kingdom of Great Britain and Northern Ireland,GBR,5
1989,Liberia,LBR,United States of America,USA,38
1989,Libya,LBY,United Kingdom of Great Britain and Northern Ireland,GBR,84
1989,Libya,LBY,United States of America,USA,379
1989,Lebanon,LBN,United Kingdom of Great Britain and Northern Ireland,GBR,312
1989,Lebanon,LBN,United States of America,USA,228
1989,Sri Lanka,LKA,United Kingdom of Great Britain and Northern Ireland,GBR,4044
1989,Sri Lanka,LKA,United States of America,USA,6
1989,Malawi,MWI,United Kingdom of Great Britain and Northern Ireland,GBR,5
1989,Mozambique,MOZ,United States of America,USA,32
1989,Namibia,NAM,United States of America,USA,23
1989,Nicaragua,NIC,United States of America,USA,13442
1989,Nigeria,NGA,United Kingdom of Great Britain and Northern Ireland,GBR,10
1989,Pakistan,PAK,United Kingdom of Great Britain and Northern Ireland,GBR,291
1989,Pakistan,PAK,United States of America,USA,86
1989,Panama,PAN,United States of America,USA,365
1989,Peru,PER,United States of America,USA,26
1989,Philippines,PHL,Malaysia,MYS,90000
1989,Poland,POL,United Kingdom of Great Britain and Northern Ireland,GBR,254
1989,Poland,POL,United States of America,USA,19838
1989,Romania,ROU,United Kingdom of Great Britain and Northern Ireland,GBR,77
1989,Romania,ROU,United States of America,USA,17394
1989,South Africa,ZAF,United Kingdom of Great Britain and Northern Ireland,GBR,115
1989,South Africa,ZAF,United States of America,USA,173
1989,Russian Federation,RUS,United Kingdom of Great Britain and Northern Ireland,GBR,29
1989,Russian Federation,RUS,United States of America,USA,65381
1989,Rwanda,RWA,United Kingdom of Great Britain and Northern Ireland,GBR,5
1989,El Salvador,SLV,United Kingdom of Great Britain and Northern Ireland,GBR,51
1989,El Salvador,SLV,United States of America,USA,882
1989,Seychelles,SYC,United Kingdom of Great Britain and Northern Ireland,GBR,49
1989,Singapore,SGP,United Kingdom of Great Britain and Northern Ireland,GBR,5
1989,Sierra Leone,SLE,United Kingdom of Great Britain and Northern Ireland,GBR,8
1989,Somalia,SOM,United Kingdom of Great Britain and Northern Ireland,GBR,1486
1989,Somalia,SOM,United States of America,USA,264
1989,Serbia and Kosovo: S/RES/1244 (1999),SRB,United Kingdom of Great Britain and Northern Ireland,GBR,6
1989,Serbia and Kosovo: S/RES/1244 (1999),SRB,United States of America,USA,49
1989,Viet Nam,VNM,Malaysia,MYS,20475
1989,Viet Nam,VNM,United States of America,USA,120243
1989,Stateless,XXA,United Kingdom of Great Britain and Northern Ireland,GBR,102
1989,Sudan,SDN,United Kingdom of Great Britain and Northern Ireland,GBR,101
1989,Sudan,SDN,United States of America,USA,21
1989,Syrian Arab Rep.,SYR,United Kingdom of Great Britain and Northern Ireland,GBR,13
1989,Syrian Arab Rep.,SYR,United States of America,USA,239
1989,United Rep. of Tanzania,TZA,United Kingdom of Great Britain and Northern Ireland,GBR,5
1989,Türkiye,TUR,United Kingdom of Great Britain and Northern Ireland,GBR,1096
1989,Uganda,UGA,United Kingdom of Great Britain and Northern Ireland,GBR,1442
1989,Uganda,UGA,United States of America,USA,115
1989,Unknown ,UNK,Australia,AUS,97915
1989,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,23875
1989,Unknown ,UNK,Malaysia,MYS,7
1989,Unknown ,UNK,Netherlands (Kingdom of the),NLD,16971
1989,Unknown ,UNK,United States of America,USA,1061
1989,Uruguay,URY,United Kingdom of Great Britain and Northern Ireland,GBR,5
1989,Zimbabwe,ZWE,United Kingdom of Great Britain and Northern Ireland,GBR,5
1990,Afghanistan,AFG,United Kingdom of Great Britain and Northern Ireland,GBR,237
1990,Afghanistan,AFG,United States of America,USA,11488
1990,Albania,ALB,United States of America,USA,349
1990,Algeria,DZA,United Kingdom of Great Britain and Northern Ireland,GBR,5
1990,Angola,AGO,United Kingdom of Great Britain and Northern Ireland,GBR,81
1990,Angola,AGO,United States of America,USA,133
1990,Egypt,EGY,United Kingdom of Great Britain and Northern Ireland,GBR,5
1990,Egypt,EGY,United States of America,USA,5
1990,Argentina,ARG,United Kingdom of Great Britain and Northern Ireland,GBR,7
1990,Bangladesh,BGD,United Kingdom of Great Britain and Northern Ireland,GBR,8
1990,Bulgaria,BGR,United Kingdom of Great Britain and Northern Ireland,GBR,38
1990,Bulgaria,BGR,United States of America,USA,944
1990,Cambodia,KHM,United States of America,USA,16049
1990,China,CHN,United Kingdom of Great Britain and Northern Ireland,GBR,97
1990,China,CHN,United States of America,USA,1025
1990,Chile,CHL,United Kingdom of Great Britain and Northern Ireland,GBR,12
1990,Dem. Rep. of the Congo,COD,United Kingdom of Great Britain and Northern Ireland,GBR,168
1990,Dem. Rep. of the Congo,COD,United States of America,USA,123
1990,Colombia,COL,United Kingdom of Great Britain and Northern Ireland,GBR,93
1990,Colombia,COL,United States of America,USA,19
1990,Cuba,CUB,United Kingdom of Great Britain and Northern Ireland,GBR,5
1990,Cuba,CUB,United States of America,USA,12450
1990,Cyprus,CYP,United Kingdom of Great Britain and Northern Ireland,GBR,11
1990,Czechia,CZE,United Kingdom of Great Britain and Northern Ireland,GBR,73
1990,Czechia,CZE,United States of America,USA,4622
1990,Djibouti,DJI,United Kingdom of Great Britain and Northern Ireland,GBR,5
1990,Ethiopia,ETH,United Kingdom of Great Britain and Northern Ireland,GBR,1275
1990,Ethiopia,ETH,United States of America,USA,11442
1990,Ghana,GHA,United Kingdom of Great Britain and Northern Ireland,GBR,929
1990,Ghana,GHA,United States of America,USA,5
1990,Grenada,GRD,United Kingdom of Great Britain and Northern Ireland,GBR,5
1990,Guatemala,GTM,United Kingdom of Great Britain and Northern Ireland,GBR,5
1990,Guatemala,GTM,United States of America,USA,223
1990,Haiti,HTI,United States of America,USA,27
1990,Honduras,HND,United States of America,USA,5
1990,Hungary,HUN,United Kingdom of Great Britain and Northern Ireland,GBR,23
1990,Hungary,HUN,United States of America,USA,3689
1990,India,IND,United Kingdom of Great Britain and Northern Ireland,GBR,179
1990,India,IND,United States of America,USA,8
1990,Iran (Islamic Rep. of),IRN,United Kingdom of Great Britain and Northern Ireland,GBR,7554
1990,Iran (Islamic Rep. of),IRN,United States of America,USA,29510
1990,Iraq,IRQ,United Kingdom of Great Britain and Northern Ireland,GBR,1311
1990,Iraq,IRQ,United States of America,USA,818
1990,Israel,ISR,United States of America,USA,5
1990,Jordan,JOR,United States of America,USA,5
1990,Lao People's Dem. Rep.,LAO,United Kingdom of Great Britain and Northern Ireland,GBR,5
1990,Lao People's Dem. Rep.,LAO,United States of America,USA,64245
1990,Liberia,LBR,United Kingdom of Great Britain and Northern Ireland,GBR,16
1990,Liberia,LBR,United States of America,USA,48
1990,Libya,LBY,United Kingdom of Great Britain and Northern Ireland,GBR,91
1990,Libya,LBY,United States of America,USA,315
1990,Lebanon,LBN,United Kingdom of Great Britain and Northern Ireland,GBR,492
1990,Lebanon,LBN,United States of America,USA,287
1990,Sri Lanka,LKA,United Kingdom of Great Britain and Northern Ireland,GBR,4513
1990,Sri Lanka,LKA,United States of America,USA,16
1990,Lithuania,LTU,United States of America,USA,5
1990,Malawi,MWI,United Kingdom of Great Britain and Northern Ireland,GBR,5
1990,Mozambique,MOZ,United States of America,USA,28
1990,Myanmar,MMR,United Kingdom of Great Britain and Northern Ireland,GBR,11
1990,Myanmar,MMR,United States of America,USA,13
1990,Namibia,NAM,United States of America,USA,11
1990,Nicaragua,NIC,United States of America,USA,15691
1990,Nigeria,NGA,United Kingdom of Great Britain and Northern Ireland,GBR,10
1990,Pakistan,PAK,United Kingdom of Great Britain and Northern Ireland,GBR,315
1990,Pakistan,PAK,United States of America,USA,97
1990,Panama,PAN,United States of America,USA,616
1990,Peru,PER,United Kingdom of Great Britain and Northern Ireland,GBR,11
1990,Peru,PER,United States of America,USA,53
1990,Philippines,PHL,United States of America,USA,5
1990,Poland,POL,United Kingdom of Great Britain and Northern Ireland,GBR,248
1990,Poland,POL,United States of America,USA,17674
1990,Romania,ROU,United Kingdom of Great Britain and Northern Ireland,GBR,67
1990,Romania,ROU,United States of America,USA,16622
1990,South Africa,ZAF,United Kingdom of Great Britain and Northern Ireland,GBR,119
1990,South Africa,ZAF,United States of America,USA,187
1990,Russian Federation,RUS,United Kingdom of Great Britain and Northern Ireland,GBR,37
1990,Russian Federation,RUS,United States of America,USA,115686
1990,El Salvador,SLV,United Kingdom of Great Britain and Northern Ireland,GBR,46
1990,El Salvador,SLV,United States of America,USA,1035
1990,Seychelles,SYC,United Kingdom of Great Britain and Northern Ireland,GBR,58
1990,Sierra Leone,SLE,United Kingdom of Great Britain and Northern Ireland,GBR,8
1990,Somalia,SOM,United Kingdom of Great Britain and Northern Ireland,GBR,1827
1990,Somalia,SOM,United States of America,USA,446
