Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum
2022,Armenia,ARM,Sweden,SWE,333,150
2022,Armenia,ARM,Switzerland,CHE,213,38
2022,Armenia,ARM,Ukraine,UKR,45,0
2022,Armenia,ARM,United States of America,USA,1468,8553
2022,Australia,AUS,Canada,CAN,0,5
2022,Australia,AUS,Costa Rica,CRI,0,6
2022,Australia,AUS,United Kingdom of Great Britain and Northern Ireland,GBR,5,6
2022,Australia,AUS,Germany,DEU,11,0
2022,Australia,AUS,Rep. of Moldova,MDA,5,0
2022,Australia,AUS,Poland,POL,5,0
2022,Australia,AUS,Portugal,PRT,5,0
2022,Australia,AUS,United States of America,USA,0,8
2022,Austria,AUT,Canada,CAN,0,5
2022,Austria,AUT,Germany,DEU,5,0
2022,Austria,AUT,Rep. of Moldova,MDA,13,0
2022,Austria,AUT,Switzerland,CHE,5,0
2022,Austria,AUT,United States of America,USA,18,12
2022,Azerbaijan,AZE,Armenia,ARM,27933,5
2022,Azerbaijan,AZE,Australia,AUS,11,11
2022,Azerbaijan,AZE,Austria,AUT,151,65
2022,Azerbaijan,AZE,Belgium,BEL,127,115
2022,Azerbaijan,AZE,Belarus,BLR,5,0
2022,Azerbaijan,AZE,Bosnia and Herzegovina,BIH,5,0
2022,Azerbaijan,AZE,Bulgaria,BGR,10,0
2022,Azerbaijan,AZE,Canada,CAN,112,113
2022,Azerbaijan,AZE,Czechia,CZE,34,18
2022,Azerbaijan,AZE,Denmark,DNK,45,6
2022,Azerbaijan,AZE,Estonia,EST,19,0
2022,Azerbaijan,AZE,Finland,FIN,85,10
2022,Azerbaijan,AZE,France,FRA,4679,413
2022,Azerbaijan,AZE,United Kingdom of Great Britain and Northern Ireland,GBR,149,108
2022,Azerbaijan,AZE,Germany,DEU,5315,2281
2022,Azerbaijan,AZE,Croatia,HRV,8,0
2022,Azerbaijan,AZE,Hungary,HUN,18,0
2022,Azerbaijan,AZE,Iceland,ISL,5,0
2022,Azerbaijan,AZE,Ireland,IRL,5,7
2022,Azerbaijan,AZE,Israel,ISR,0,34
2022,Azerbaijan,AZE,Italy,ITA,17,42
2022,Azerbaijan,AZE,Lithuania,LTU,32,5
2022,Azerbaijan,AZE,Luxembourg,LUX,18,0
2022,Azerbaijan,AZE,Latvia,LVA,21,17
2022,Azerbaijan,AZE,Rep. of Moldova,MDA,727,67
2022,Azerbaijan,AZE,Netherlands (Kingdom of the),NLD,349,119
2022,Azerbaijan,AZE,Norway,NOR,34,11
2022,Azerbaijan,AZE,Poland,POL,290,20
2022,Azerbaijan,AZE,Portugal,PRT,15,0
2022,Azerbaijan,AZE,Romania,ROU,50,0
2022,Azerbaijan,AZE,Russian Federation,RUS,43,5
2022,Azerbaijan,AZE,Spain,ESP,81,30
2022,Azerbaijan,AZE,Slovakia,SVK,25,0
2022,Azerbaijan,AZE,Slovenia,SVN,5,0
2022,Azerbaijan,AZE,Sweden,SWE,645,190
2022,Azerbaijan,AZE,Switzerland,CHE,300,87
2022,Azerbaijan,AZE,Turkmenistan,TKM,5,0
2022,Azerbaijan,AZE,Ukraine,UKR,56,5
2022,Azerbaijan,AZE,United States of America,USA,584,1942
2022,Bahrain,BHR,Australia,AUS,38,5
2022,Bahrain,BHR,Brazil,BRA,0,5
2022,Bahrain,BHR,Canada,CAN,17,7
2022,Bahrain,BHR,Denmark,DNK,5,0
2022,Bahrain,BHR,France,FRA,22,0
2022,Bahrain,BHR,United Kingdom of Great Britain and Northern Ireland,GBR,87,34
2022,Bahrain,BHR,Germany,DEU,45,0
2022,Bahrain,BHR,Ireland,IRL,12,0
2022,Bahrain,BHR,Iraq,IRQ,0,27
2022,Bahrain,BHR,Lebanon,LBN,13,5
2022,Bahrain,BHR,Netherlands (Kingdom of the),NLD,14,0
2022,Bahrain,BHR,New Zealand,NZL,7,5
2022,Bahrain,BHR,Sweden,SWE,16,5
2022,Bahrain,BHR,Syrian Arab Rep.,SYR,5,5
2022,Bahrain,BHR,United States of America,USA,21,60
2022,Barbados,BRB,Canada,CAN,216,202
2022,Barbados,BRB,United Kingdom of Great Britain and Northern Ireland,GBR,15,19
2022,Barbados,BRB,United States of America,USA,0,5
2022,Burundi,BDI,Angola,AGO,17,97
2022,Burundi,BDI,Egypt,EGY,56,68
2022,Burundi,BDI,Argentina,ARG,5,0
2022,Burundi,BDI,Australia,AUS,53,29
2022,Burundi,BDI,Austria,AUT,18,61
2022,Burundi,BDI,Belgium,BEL,2156,2545
2022,Burundi,BDI,Benin,BEN,5,0
2022,Burundi,BDI,Burkina Faso,BFA,20,5
2022,Burundi,BDI,Botswana,BWA,48,0
2022,Burundi,BDI,Brazil,BRA,48,20
2022,Burundi,BDI,Bosnia and Herzegovina,BIH,0,5
